	Tomato Analyzer - Color Data														
	Plot #	 File Name	Fruit No.	Parameter 1  (% surface w/ Hue 70-100)	Parameter 2  (% surface w/ Hue 0-50)	Avg. Red	Avg. Green	Avg. Blue	Avg. Luminosity	Avg. L	Avg. a	Avg. b	 Avg. Hue	Avg. Chroma	comment 
unique#	Plot #	Plot File Name	Fruit	SP:0000351	SP:0000350	SP:0000352	SP:0000355	SP:0000356	SP:0000360	SP:0000357	SP:0000358	SP:0000359	SP:0000361	SP:0000362	
127-1	127	2010_ca_127_fruit_C.jpg	1	.	.	143.6063	82.8548	51.5634	91.8441	43.3952	25.6769	27.7109	47.1819	37.7782	data normalized to color checker
127-2	127	2010_ca_127_fruit_C.jpg	2	.	.	138.6816	86.0975	60.7218	93.8365	43.5418	22.215	22.6973	45.6153	31.7597	data normalized to color checker
127-3	127	2010_ca_127_fruit_C.jpg	3	.	.	146.5319	78.1723	50.7379	92.8323	42.7249	29.801	27.5031	42.7036	40.5527	data normalized to color checker
127-4	127	2010_ca_127_fruit_C.jpg	4	.	.	140.241	79.5039	53.7961	91.3115	42.1459	26.429	24.8937	43.2864	36.3069	data normalized to color checker
127-5	127	2010_ca_127_fruit_C.jpg	5	.	.	137.4701	72.3668	56.3659	91.2166	40.1573	29.8398	20.7713	34.8415	36.3574	data normalized to color checker
128-1	128	2010_ca_128_fruit_C.jpg	1	.	.	131.3845	54.4474	44.6303	82.82	35.4318	36.8689	21.2585	29.9676	42.5587	data normalized to color checker
128-2	128	2010_ca_128_fruit_C.jpg	2	.	.	132.5275	50.0715	39.7464	81.0672	34.6993	39.4027	23.2525	30.5459	45.7521	data normalized to color checker
128-3	128	2010_ca_128_fruit_C.jpg	3	.	.	134.5216	68.016	49.8821	86.7779	38.7614	30.5408	22.5678	36.4622	37.9743	data normalized to color checker
128-4	128	2010_ca_128_fruit_C.jpg	4	.	.	141.2464	73.8872	46.3329	88.2723	40.9308	29.759	27.509	42.75	40.5258	data normalized to color checker
128-5	128	2010_ca_128_fruit_C.jpg	5	.	.	127.7641	48.9472	41.0171	79.4219	33.6906	38.171	21.0029	28.8209	43.5678	data normalized to color checker
