	Tomato Analyzer - Latitudinal Shape - Individual Data						
	Plot #	image files	Fruit	 Lobedness Degree	 Pericarp Area	Pericarp Thickness	comment
unique#	Plot #	image files	Fruit	SP:0000103	SP:0000095|unit:square centimeter	SP:0000372|unit:centimeter	
150-8	150	2010_ca_150_fruit_C.jpg	8	0.7762	0.4491	0.255	
150-9	150	2010_ca_150_fruit_C.jpg	9	0.7881	0.4477	0.2564	
151-1	151	2010_ca_151_fruit_C.jpg	1	1.4236	0.4418	0.2514	
151-2	151	2010_ca_151_fruit_C.jpg	2	1.382	0.4417	0.247	
151-3	151	2010_ca_151_fruit_C.jpg	3	1.7652	0.4434	0.2519	
151-4	151	2010_ca_151_fruit_C.jpg	4	1.521	0.4414	0.2512	
151-5	151	2010_ca_151_fruit_C.jpg	5	1.2194	0.4424	0.2511	
152-1	152	2010_ca_152_fruit_C.jpg	1	1.1593	0.4443	0.2521	
152-2	152	2010_ca_152_fruit_C.jpg	2	2.7022	0.4437	0.2527	
152-3	152	2010_ca_152_fruit_C.jpg	3	0.9379	0.443	0.253	
152-4	152	2010_ca_152_fruit_C.jpg	4	2.3507	0.4434	0.2506	
152-5	152	2010_ca_152_fruit_C.jpg	5	1.6156	0.4404	0.2513	
153-1	153	2010_ca_153_fruit_C.jpg	1	0.7984	0.4431	0.2519	
153-2	153	2010_ca_153_fruit_C.jpg	2	1.4137	0.4419	0.2544	
153-3	153	2010_ca_153_fruit_C.jpg	3	1.3905	0.4441	0.2558	
153-4	153	2010_ca_153_fruit_C.jpg	4	1.9074	0.4432	0.2481	
153-5	153	2010_ca_153_fruit_C.jpg	5	1.023	0.4427	0.2524	
154-1	154	2010_ca_154_fruit_C.jpg	1	1.1944	0.4478	0.25	
154-2	154	2010_ca_154_fruit_C.jpg	2	1.1685	0.4474	0.2552	
154-3	154	2010_ca_154_fruit_C.jpg	3	1.3193	0.4466	0.2538	
154-4	154	2010_ca_154_fruit_C.jpg	4	1.2625	0.4495	0.255	
154-5	154	2010_ca_154_fruit_C.jpg	5	1.3746	0.4504	0.2593	
155-1	155	2010_ca_155_fruit_C.jpg	1	3.0989	0.4374	0.2539	
155-2	155	2010_ca_155_fruit_C.jpg	2	3.0629	0.4447	0.2359	
155-3	155	2010_ca_155_fruit_C.jpg	3	4.3186	0.4455	0.2471	
155-4	155	2010_ca_155_fruit_C.jpg	4	4.2524	0.451	0.2542	
155-5	155	2010_ca_155_fruit_C.jpg	5	5.5343	0.4508	0.25	
156-1	156	2010_ca_156_fruit_C.jpg	1	0.996	0.4413	0.2516	
156-2	156	2010_ca_156_fruit_C.jpg	2	1.9855	0.4407	0.2527	
156-3	156	2010_ca_156_fruit_C.jpg	3	1.1255	0.4415	0.2509	
