	Tomato Analyzer - Shape Individual Data																																								
	Plot #	image files	Fruit	Perimeter (cm)	  Area (cm2)	  Width Mid-height (cm)	  Maximum Width (cm)	  Height Mid-width (cm)	  Maximum Height (cm)	  Fruit Shape Index External.1	  Fruit Shape Index External.2	  Proximal Fruit Blockiness	  Distal Fruit Blockiness	  Fruit Shape Triangle	  Ellipsoid	  Circular	  Rectangular	  Heart Shape	  Shoulder Height	  Proximal Angle Micro	  Proximal Angle Macro	  Proximal Indentation Area	  Distal Angle Micro	  Distal Angle Macro	  Distal Indentation Area	  Distal End Protrusion	  Obovoid	  Ovoid	  V. Asymmetry	  H. Asymmetry.ob	  H. Asymmetry.ov	  Width Widest Pos	  Eccentricity	  Proximal Eccentricity	  Distal Eccentricity	  Fruit Shape Index Internal	  Eccentricity Area Index	Comments			
unique#	Plot #	image files	Fruit	SP:0000087|unit:centimeter	SP:0000085|unit:square centimeter	SP:0000133|unit:centimeter	SP:0000134|unit:centimeter	SP:0000135|unit:centimeter	SP:0000136|unit:centimeter	SP:0000040	SP:0000046	SP:0000139	SP:0000145	SP:0000049	SP:0000067	SP:0000050	SP:0000068	SP:0000062	SP:0000154|unit:centimeter	SP:0000369	SP:0000370	SP:0000079|unit:square centimeter	SP:0000155	SP:0000160	SP:0000076|unit:square centimeter	SP:0000077	SP:0000059	SP:0000060	SP:0000066	SP:0000161	SP:0000162	SP:0000384	SP:0000058	SP:0000064	SP:0000063	SP:0000048	SP:0000164				
320-1	320	2009_nc_320_fruit-t.jpg	1	33.7639	65.7037	6.604	6.6294	12.1412	12.319	1.8582	1.8385	0.8577	0.7692	1.115	0.947	0.836	0.5421	0.5167	0.019	216.3642	42.1197	0.0382	165.0628	49.5093	0.0075	0.2667	0	0.1431	2.655	0	11.1	0.4866	0.7893	0.8904	0.8884	1.8365	0.3872				 
320-2	320	2009_nc_320_fruit-t.jpg	2	32.3441	51.2844	5.1054	5.2578	12.5984	13.1064	2.4928	2.4677	0.8557	0.6269	1.3651	0.8403	0.787	0.453	0.1512	0	158.3832	33.2417	0	113.3893	46.3988	0	0.1486	0	0.2049	11.2602	0	21.5097	0.4593	0.7689	0.8919	0.8899	2.475	0.374				 
320-3	320	2009_nc_320_fruit-t.jpg	3	29.7522	47.8367	4.9784	5.8674	10.414	11.0998	1.8918	2.0918	0.9235	0.9643	0.9577	0.475	0.8077	0.4468	0	0.0666	200.9697	209.1088	0.0182	167.8186	49.062	0	0	0.2722	0	16.383	31.7261	0	0.6788	0.7523	0.9266	0.8609	2.1026	0.458				 
320-4	320	2009_nc_320_fruit-t.jpg	4	26.6585	36.4683	4.8006	4.8006	10.0584	10.1092	2.1058	2.0952	0.8201	0.709	1.1567	0.9249	0.8235	0.5008	0.5913	0.023	225.2346	201.5122	0.0114	103.573	51.3859	0	0	0	0.1215	3.4131	0	8.5691	0.5073	0.7809	0.8857	0.8708	2.0395	0.3453				 
321-1	321	2009_nc_321_fruit-t.jpg	1	37.1991	78.6798	11.6078	11.811	6.6802	8.8138	0.7462	0.5755	0.9015	0.7921	1.1381	0.5754	0.8	0.497	0	0.2728	230.6088	184.0637	0.5274	174.6877	130.6125	0	0	0	0.1683	17.9653	0	18.3341	0.3978	0.6012	0.8889	0.8851	0.5778	0.5178				 
321-2	321	2009_nc_321_fruit-t.jpg	2	37.1067	77.556	11.3284	11.3538	6.3246	8.9916	0.7919	0.5583	0.861	0.8363	1.0295	0.5365	0.8239	0.5108	0	0.2849	205.4733	196.0198	0.6264	169.8205	127.9982	0.0068	0	0.1273	0	18.5977	19.8475	0	0.489	0.5609	0.8959	0.88	0.5562	0.5395				 
322-1	322	2009_nc_322_fruit-t.jpg	1	27.0054	48.4522	8.509	8.6106	6.4008	6.858	0.7965	0.7522	0.9373	0.794	1.1805	0.8604	0.9229	0.5736	1.5787	0.0711	194.2075	162.8086	0.1976	177.9052	118.1808	0.0005	0	0	0.2306	1.8401	0	10.1893	0.4111	0.7435	0.8889	0.885	0.7519	0.4436				 
322-2	322	2009_nc_322_fruit-t.jpg	2	29.0606	54.3109	10.0584	10.1092	6.1722	6.6802	0.6608	0.6136	0.9167	0.7828	1.171	0.8585	0.7686	0.5533	0.873	0.0365	191.1171	163.096	0.1973	176.8409	144.7112	0.0004	0	0	0.1741	6.1107	0	9.2141	0.4259	0.7328	0.893	0.8807	0.6076	0.4339				 
322-3	322	2009_nc_322_fruit-t.jpg	3	25.5239	43.8535	7.2898	7.4168	6.731	7.1882	0.9692	0.9233	0.9338	0.8223	1.1356	0.8855	0.9784	0.5703	0.6507	0.0253	194.5237	136.1002	0.1034	174.7491	112.5424	0	0	0	0.182	6.727	0	8.1031	0.4099	0.7447	0.8898	0.8861	0.9211	0.4468				 
322-4	322	2009_nc_322_fruit-t.jpg	4	30.6074	60.1676	9.9314	9.9314	6.6802	7.6454	0.7698	0.6726	0.8491	0.844	1.0061	0.8478	0.8777	0.5285	0	0.0694	181.1509	153.347	0.2082	173.6997	130.1158	0.0002	0	0.114	0	11.1633	8.2154	0	0.495	0.6933	0.8889	0.8814	0.6667	0.4535				 
324-1	324	2009_nc_324_fruit-t.jpg	1	11.3659	9.2548	3.2766	3.302	3.4036	3.4798	1.0538	1.0388	0.8682	0.7674	1.1313	0.9746	0.9819	0.5282	0.4947	0.0174	202.0895	114.8909	0.0207	176.6357	93.3371	0	0	0	0.1872	0.6618	0	1.845	0.3942	0.7794	0.8908	0.8833	1.0392	0.408				 
324-2	324	2009_nc_324_fruit-t.jpg	2	11.9072	9.9271	3.302	3.3274	3.683	3.7338	1.1221	1.1154	0.8308	0.7846	1.0588	0.9848	0.9664	0.513	0.5321	0.0199	196.6884	91.9132	0.0221	164.9257	99.8581	0	0	0	0.1371	0.3767	0	1.3538	0.4503	0.7945	0.9063	0.8788	1.1154	0.3842				 
324-3	324	2009_nc_324_fruit-t.jpg	3	12.2911	9.3716	3.3782	3.4036	3.3782	3.4798	1.0224	1	0.8496	0.7895	1.0762	0.9591	0.9872	0.5081	0.2002	0.0036	194.4502	110.9969	0.0223	164.6083	108.5262	0	0	0	0.1101	1.8529	0	1.8496	0.5118	0.7647	0.9043	0.8595	1.0196	0.4264				 
324-4	324	2009_nc_324_fruit-t.jpg	4	11.5988	9.549	3.3274	3.3782	3.4036	3.5306	1.0451	1.0229	0.8168	0.8473	0.964	0.9442	0.9722	0.4972	0	0.0018	190.8107	99.4151	0.0087	178.7533	115.1934	0.002	0	0.0913	0	3.2246	3.3864	0	0.4532	0.7681	0.8908	0.876	1.0192	0.415				 
324-5	324	2009_nc_324_fruit-t.jpg	5	12.4076	10.6451	3.5052	3.5814	3.7338	3.9116	1.0922	1.0652	0.8478	0.7464	1.1359	0.935	0.9739	0.4502	0.1323	0	197.9177	107.8235	0	145.7978	99.7483	0	0	0	0.1292	3.9608	0	4.2143	0.4551	0.7451	0.9048	0.8636	1.0364	0.4031				 
324-6	324	2009_nc_324_fruit-t.jpg	6	12.3611	10.1626	3.4798	3.5052	3.556	3.683	1.0507	1.0219	0.8759	0.7445	1.1765	0.9705	0.9863	0.497	0.6019	0.023	200.8414	104.2404	0.0274	168.0883	96.7768	0.0006	0	0	0.1639	0.9375	0	3.5182	0.4596	0.7778	0.918	0.8682	1.037	0.3969				 
324-7	324	2009_nc_324_fruit-t.jpg	7	12.2349	10.3548	3.5052	3.5306	3.683	3.7846	1.0719	1.0507	0.8986	0.7464	1.2039	0.9672	0.981	0.5011	0.3143	0.0087	187.7745	113.4549	0.0152	172.2668	99.2612	0	0	0	0.1577	2.0811	0	4.0217	0.4834	0.7703	0.8976	0.8702	1.0556	0.3975				 
324-8	324	2009_nc_324_fruit-t.jpg	8	12.8376	11.2987	3.7592	3.7592	3.683	3.7592	1	0.9797	0.8784	0.7635	1.1504	0.9738	0.9911	0.5303	0.235	0.0048	191.4433	113.0743	0.0106	142.2743	101.7349	0	0	0	0.1584	0.5986	0	2.7347	0.4702	0.7755	0.8906	0.8769	0.9661	0.3967				 
325-1	325	2009_nc_325_fruit-t.jpg	1	24.4113	28.0838	7.9248	8.001	3.0226	4.4958	0.5619	0.3814	0.9391	0.8269	1.1357	0.5175	0.4047	0.5841	1.6307	0.0747	252.6119	189.3148	0.4778	131.1637	154.6629	0	0	0	0.1458	8.1534	0	7.4363	0.4644	0.6023	0.955	0.8689	0.4609	0.5601				 
325-2	325	2009_nc_325_fruit-t.jpg	2	22.7795	27.1567	7.5184	7.62	3.8862	5.1562	0.6767	0.5169	0.9291	0.6419	1.4474	0.5078	0.5856	0.465	1.7425	0.0794	230.7345	195.2262	0.5655	338.0505	119.4222	0	0	0	0.2145	13.5297	0	13.5619	0.4186	0.5941	0.8955	0.8889	0.5172	0.4805				 
325-3	325	2009_nc_325_fruit-t.jpg	3	24.1109	29.5948	7.6454	7.6962	3.6322	4.7752	0.6205	0.4751	0.9402	0.8439	1.1142	0.5657	0.654	0.608	0	0.1158	191.5345	191.11	0.5815	181.3947	139.0587	0	0	0	0.1243	3.5668	0	7.8642	0.5156	0.6417	0.8955	0.916	0.531	0.5357				 
326-1	326	2009_nc_326_fruit-t.jpg	1	22.2252	31.3812	5.2832	5.3594	6.985	7.1882	1.3412	1.3221	0.8365	0.8606	0.9721	0.9525	0.9136	0.5596	0	0.0146	203.9586	73.8909	0.037	169.4046	81.7511	0	0	0.154	0	1.3475	4.3143	0	0.5567	0.7943	0.9143	0.8854	1.3333	0.3924				 
326-2	326	2009_nc_326_fruit-t.jpg	2	20.977	28.3219	4.953	5.0038	6.9342	7.1374	1.4264	1.4	0.8462	0.8	1.0577	0.9761	0.9046	0.5275	0.3678	0.012	207.0066	70.3698	0.0294	167.2835	78.6436	0	0	0	0.113	2.1036	0	3.2347	0.4896	0.7929	0.9136	0.8845	1.4416	0.3883				 
326-3	326	2009_nc_326_fruit-t.jpg	3	21.5115	30.2496	5.334	5.3848	6.8326	7.112	1.3208	1.281	0.7619	0.8571	0.8889	0.9683	0.9242	0.5165	0	0.0317	209.5074	64.7008	0.0238	168.728	87.4654	0	0	0.1574	0	2.0645	5.4787	0	0.5298	0.767	0.8954	0.8807	1.2892	0.4049				 
326-4	326	2009_nc_326_fruit-t.jpg	4	21.2716	29.8038	5.461	5.4864	6.6802	7.0612	1.287	1.2233	0.7767	0.7721	1.006	0.937	0.9334	0.4555	0.2318	0.0053	209.5317	74.3128	0.0399	155.9996	85.6565	0	0	0	0.1017	5.9097	0	7.4372	0.4912	0.7509	0.8889	0.8814	1.2235	0.3988				 
326-5	326	2009_nc_326_fruit-t.jpg	5	21.6534	30.0354	5.2832	5.3594	6.7818	7.112	1.327	1.2837	0.7788	0.8413	0.9257	0.9664	0.9246	0.5227	0	0.0407	213.8295	65.1913	0.0452	164.4317	81.7991	0	0	0.1444	0	2.448	4.381	0	0.5342	0.7527	0.8861	0.875	1.2651	0.4119				 
327-1	327	2009_nc_327_fruit-t.jpg	1	22.5493	34.2825	6.4516	6.5786	5.8674	6.1976	0.9421	0.9094	0.9213	0.8661	1.0636	0.9134	0.9784	0.5682	1.1644	0.0511	215.4711	125.3948	0.0763	173.8125	112.3625	0.0081	0	0	0.1662	4.2757	0	3.0698	0.436	0.7654	0.89	0.8942	0.9208	0.4447				 
327-2	327	2009_nc_327_fruit-t.jpg	2	24.256	38.0961	7.2644	7.366	5.9182	6.3754	0.8655	0.8147	0.9406	0.8042	1.1696	0.9259	0.9555	0.5515	1.2676	0.0557	214.1997	133.9089	0.068	188.137	121.5092	0.0081	0	0	0.2139	3.956	0	6.5813	0.3986	0.768	0.932	0.8807	0.8571	0.428				 
327-3	327	2009_nc_327_fruit-t.jpg	3	22.3769	33.5199	6.3754	6.5024	6.0198	6.2992	0.9688	0.9442	0.9124	0.8526	1.0701	0.9501	0.9846	0.5449	0.2101	0.0035	206.0806	122.8451	0.0351	190.1688	114.7341	0.0008	0	0	0.1632	4.1984	0	3.9961	0.4091	0.7773	0.9057	0.8889	0.96	0.4195				 
327-4	327	2009_nc_327_fruit-t.jpg	4	22.9767	35.0503	7.3152	7.3406	5.2832	5.715	0.7785	0.7222	0.8507	0.8889	0.957	0.9141	0.9164	0.5666	0	0.0423	210.2114	137.0502	0.0748	195.207	145.4532	0.0225	0	0.1478	0	4.9241	3.4063	0	0.533	0.7321	0.8913	0.877	0.713	0.4547				 
330-1	330	2009_nc_330_fruit-t.jpg	1	22.2219	28.4948	7.1882	7.239	3.8354	4.9022	0.6772	0.5336	0.9152	0.8551	1.0702	0.6698	0.7579	0.5758	0	0.1866	215.9268	177.6265	0.4622	190.135	149.7192	0.0145	0	0	0.1142	6.4792	0	6.3275	0.4929	0.6458	0.9394	0.8732	0.5536	0.5061				 
330-2	330	2009_nc_330_fruit-t.jpg	2	18.4832	22.0548	5.715	5.7912	4.2164	4.5974	0.7939	0.7378	0.8933	0.8533	1.0469	0.9069	0.9305	0.5785	1.5623	0.0707	219.8281	142.5396	0.1485	192.9467	132.0405	0	0	0	0.194	1.4167	0	3.0749	0.3927	0.7444	0.9116	0.8816	0.7528	0.452				 
330-3	330	2009_nc_330_fruit-t.jpg	3	19.0082	23.1838	5.8928	6.0198	4.3434	4.953	0.8228	0.7371	0.9181	0.7586	1.2102	0.8211	0.9182	0.5208	0	0.1093	230.8871	158.6869	0.2544	179.5613	121.4066	0	0	0	0.2255	4.5464	0	8.2924	0.407	0.701	0.8889	0.8831	0.7391	0.4531				 
330-4	330	2009_nc_330_fruit-t.jpg	4	18.6359	21.1	5.3594	5.4102	4.2672	4.8768	0.9014	0.7962	0.9052	0.8294	1.0914	0.8498	0.9557	0.5574	0	0.1039	233.0474	141.2823	0.2345	173.6457	117.6521	0.0003	0	0	0.1603	3.7382	0	5.4811	0.445	0.7644	0.9865	0.8795	0.8795	0.418				 
330-5	330	2009_nc_330_fruit-t.jpg	5	18.01	21.3593	5.6134	5.6388	4.1148	4.5974	0.8153	0.733	0.9276	0.8145	1.1389	0.853	0.9227	0.5783	1.671	0.076	210.3419	156.2881	0.2105	181.9295	132.627	0	0	0	0.2056	3.0889	0	5.9276	0.4254	0.7111	0.8889	0.8828	0.7273	0.4656				 
330-6	330	2009_nc_330_fruit-t.jpg	6	18.2963	21.5387	5.4356	5.5118	4.0894	4.7752	0.8664	0.7523	0.9206	0.8925	1.0314	0.8003	0.929	0.5996	0	0.0789	200.9055	148.8474	0.2123	183.8752	135.9758	0.0012	0	0.0428	0	7.0535	3.2685	0	0.407	0.6952	0.9155	0.8784	0.7738	0.4862				 
331-1	331	2009_nc_331_fruit-t.jpg	1	14.7593	14.7503	4.4704	4.5466	3.7592	3.9624	0.8715	0.8409	0.9375	0.7841	1.1957	0.8974	0.9649	0.565	1.1194	0.048	195.6896	144.9632	0.1259	168.703	109.4872	0	0	0	0.2361	0.3355	0	5.2191	0.4038	0.7613	0.8939	0.8872	0.8429	0.4325				 
331-2	331	2009_nc_331_fruit-t.jpg	2	14.1199	14.0284	4.4196	4.445	3.683	3.81	0.8571	0.8333	0.9023	0.8046	1.1214	0.9522	0.9651	0.5616	0.6507	0.0253	194.0767	136.6688	0.0722	171.5115	118.6928	0.0005	0	0	0.1818	0.1208	0	2.6092	0.4467	0.7651	0.8906	0.8769	0.8261	0.4318				 
331-3	331	2009_nc_331_fruit-t.jpg	3	14.4983	14.2458	4.4958	4.5466	3.5814	3.81	0.838	0.7966	0.9096	0.8192	1.1103	0.9393	0.9533	0.5616	0.9287	0.0396	213.4906	141.5035	0.0772	179.2236	116.7938	0	0	0	0.1479	0.557	0	2.7472	0.4459	0.7517	0.9032	0.875	0.7887	0.4343				 
331-4	331	2009_nc_331_fruit-t.jpg	4	15.6783	16.8793	4.826	4.8514	4.0386	4.2926	0.8848	0.8368	0.8947	0.7895	1.1333	0.9498	0.9728	0.5449	1.1237	0.0493	221.5214	135.2747	0.0696	177.9386	113.8466	0	0	0	0.1508	0.8988	0	3.2368	0.474	0.75	0.9	0.875	0.8289	0.4251				 
331-5	331	2009_nc_331_fruit-t.jpg	5	14.3205	14.0348	4.4704	4.4958	3.683	3.8608	0.8588	0.8239	0.8864	0.7784	1.1387	0.947	0.96	0.5245	0.531	0.0195	198.3217	129.662	0.0614	175.4494	117.4141	0	0	0	0.1628	1.7483	0	3.0398	0.4465	0.755	0.8976	0.8702	0.8261	0.432				 
331-6	331	2009_nc_331_fruit-t.jpg	6	15.179	15.2084	4.6736	4.7244	3.8354	3.9624	0.8387	0.8207	0.8696	0.8261	1.0526	0.965	0.9569	0.5437	0.4214	0.0143	190.2493	133.1651	0.0259	176.7323	125.3953	0	0	0	0.1451	1.4581	0	1.5405	0.4368	0.7742	0.8889	0.8889	0.8333	0.4243				 
331-7	331	2009_nc_331_fruit-t.jpg	7	16.4958	17.6025	4.9276	5.0038	4.0386	4.318	0.8629	0.8196	0.9124	0.7887	1.1569	0.9306	0.9644	0.5508	1.2413	0.0548	224.1237	137.2846	0.1051	172.59	105.1799	0	0	0	0.1825	0.4793	0	4.1837	0.4263	0.7692	0.9353	0.8784	0.8553	0.4312				 
332-1	332	2009_nc_332_fruit-t.jpg	1	19.3271	23.289	5.969	6.0452	4.445	4.826	0.7983	0.7447	0.8979	0.7872	1.1405	0.9343	0.9263	0.5294	0.9703	0.0418	209.034	137.0513	0.1065	188.5103	115.3406	0	0	0	0.1395	3.3122	0	3.9747	0.4605	0.7831	0.9673	0.8706	0.8043	0.4075				 
332-2	332	2009_nc_332_fruit-t.jpg	2	19.0677	22.698	5.715	5.7912	4.445	4.8006	0.8289	0.7778	0.8933	0.8356	1.0691	0.9209	0.9446	0.5644	1.3125	0.0588	201.6198	136.173	0.0979	188.8233	130.4689	0	0	0	0.147	2.9149	0	2.4317	0.4381	0.7766	0.9542	0.8795	0.8295	0.4264				 
332-3	332	2009_nc_332_fruit-t.jpg	3	17.3789	19.9161	4.572	4.9784	4.9022	5.3848	1.0816	1.0722	0.9333	0.7778	1.2	0.8549	0.9479	0.4717	0.849	0.0346	237.9693	106.5239	0.1004	171.988	90.4031	0	0	0	0.2297	4.6161	0	9.9692	0.3538	0.7204	0.8941	0.8786	1.0556	0.4431				 
332-4	332	2009_nc_332_fruit-t.jpg	4	17.6544	21.7664	5.461	5.4864	4.6228	4.8006	0.875	0.8465	0.8651	0.8233	1.0508	0.9671	0.9765	0.5475	0.9527	0.041	222.0099	120.5986	0.0489	178.6344	123.8669	0	0	0	0.1337	0.9468	0	1.3581	0.4688	0.766	0.9	0.8727	0.8471	0.4301				 
332-5	332	2009_nc_332_fruit-t.jpg	5	17.6606	21.389	5.6388	5.7404	4.2672	4.6228	0.8053	0.7568	0.9189	0.7793	1.1792	0.8991	0.9293	0.5204	0.6819	0.027	215.7512	147.6336	0.0763	171.253	119.4167	0	0	0	0.1704	4.2597	0	5.1422	0.4396	0.7403	0.8933	0.8874	0.7614	0.4413				 
332-6	332	2009_nc_332_fruit-t.jpg	6	20.0329	25.5354	6.6548	6.6548	3.9878	4.7752	0.7176	0.5992	0.8626	0.8511	1.0135	0.8621	0.8277	0.5478	1.6216	0.0746	233.556	143.6285	0.1408	223.5891	153.2874	0.0953	0	0	0.1188	5.3797	0	1.8008	0.4792	0.6417	0.8759	0.8392	0.5769	0.5047				 
333-1	333	2009_nc_333_fruit-t.jpg	1	16.9581	18.2858	5.5118	5.5372	3.6068	4.1402	0.7477	0.6544	0.8894	0.8249	1.0782	0.7788	0.8553	0.509	1.306	0.0587	219.6089	164.5076	0.2059	170.6836	130.7638	0	0	0	0.1285	8.6975	0	6.5023	0.454	0.6914	0.896	0.8819	0.6512	0.4662				 
333-2	333	2009_nc_333_fruit-t.jpg	2	17.7063	19.5432	5.842	5.8674	3.4036	4.1148	0.7013	0.5826	0.913	0.8	1.1413	0.7613	0.8146	0.5803	0	0.1572	236.2422	173.1953	0.3345	171.5027	137.1667	0	0	0	0.1725	4.4969	0	5.2	0.4444	0.6584	0.8908	0.8833	0.5761	0.4943				 
333-3	333	2009_nc_333_fruit-t.jpg	3	18.0357	19.9871	5.715	5.7658	3.81	4.3688	0.7577	0.6667	0.9022	0.7911	1.1404	0.8124	0.8801	0.5402	0	0.1214	219.5716	163.0621	0.2238	175.5399	125.1739	0.001	0	0	0.158	5.0643	0	5.3319	0.4293	0.7135	0.9242	0.8777	0.6932	0.4556				 
333-4	333	2009_nc_333_fruit-t.jpg	4	19.0949	21.8916	5.8166	5.8674	3.8862	4.572	0.7792	0.6681	0.9258	0.8122	1.1398	0.808	0.8952	0.5765	1.8155	0.0839	244.7928	159.6608	0.2767	192.8074	124.6688	0.0083	0	0	0.1522	1.3966	0	5.8522	0.455	0.7486	1	0.8816	0.7528	0.4479				 
333-5	333	2009_nc_333_fruit-t.jpg	5	18.2194	21.7322	5.8166	5.8674	4.0132	4.5212	0.7706	0.69	0.8952	0.8341	1.0733	0.8695	0.8997	0.5669	1.4658	0.0667	212.1171	154.8386	0.1887	175.3105	132.8111	0	0	0	0.1304	3.7232	0	3.5435	0.4719	0.7119	0.8936	0.8873	0.6923	0.4653				 
333-6	333	2009_nc_333_fruit-t.jpg	6	15.8492	16.54	5.0546	5.1054	3.556	3.9624	0.7761	0.7035	0.9196	0.7889	1.1656	0.8515	0.9079	0.563	0	0.114	238.2847	156.4723	0.2289	179.6626	122.0037	0	0	0	0.2162	1.2323	0	5.34	0.4103	0.7226	0.896	0.8889	0.7089	0.4579				 
334-1	334	2009_nc_334_fruit-t.jpg	1	30.5957	55.6431	9.5758	9.7028	5.9944	7.0866	0.7304	0.626	0.9204	0.8223	1.1194	0.7834	0.859	0.5787	0	0.1313	217.4493	165.3582	0.315	181.2687	128.8728	0.0012	0	0	0.1654	4.0072	0	8.7087	0.449	0.6978	0.9327	0.8818	0.6554	0.4771				 
334-2	334	2009_nc_334_fruit-t.jpg	2	27.4992	46.4147	8.2042	8.3058	6.223	6.8326	0.8226	0.7585	0.9226	0.8111	1.1374	0.8801	0.9372	0.541	1.5624	0.0709	209.3949	144.8792	0.1568	184.2225	129.4666	0.0008	0	0	0.1795	5.9776	0	7.3221	0.4344	0.7836	0.9633	0.8898	0.8333	0.4223				 
334-3	334	2009_nc_334_fruit-t.jpg	3	31.2282	58.1244	9.7536	9.8044	6.2484	7.2898	0.7435	0.6406	0.8932	0.8359	1.0685	0.8207	0.8645	0.5759	0	0.1265	210.0864	160.0713	0.3045	173.388	137.5142	0	0	0	0.1078	4.5035	0	6.8753	0.5076	0.7133	0.9315	0.887	0.6711	0.4594				 
335-1	335	2009_nc_335_fruit-t.jpg	1	32.6161	61.2605	10.4902	10.5918	5.4864	7.4676	0.705	0.523	0.937	0.8547	1.0963	0.5207	0.7444	0.5439	0	0.1866	230.1737	188.1671	0.5956	196.617	139.9384	0.0083	0	0	0.1421	19.8805	0	15.4615	0.432	0.587	0.8958	0.8821	0.5244	0.5334				 
335-2	335	2009_nc_335_fruit-t.jpg	2	23.8947	35.269	8.4582	8.4836	4.3434	4.9784	0.5868	0.5135	0.9189	0.8378	1.0968	0.8064	0.6704	0.6005	0	0.0954	196.0325	168.0716	0.2631	195.4255	155.9437	0.0263	0	0	0.1538	1.441	0	4.4264	0.4592	0.6974	0.8889	0.8889	0.5152	0.4842				 
335-3	335	2009_nc_335_fruit-t.jpg	3	26.7499	41.8277	9.1186	9.1694	4.5212	5.6134	0.6122	0.4958	0.8886	0.8579	1.0357	0.7647	0.6804	0.5879	0	0.1297	214.9788	169.9047	0.3192	205.9237	154.9975	0.0196	0	0.1061	0	4.9273	4.1944	0	0.4924	0.6727	0.9367	0.881	0.5248	0.4944				 
335-4	335	2009_nc_335_fruit-t.jpg	4	31.6473	54.4341	10.7188	10.795	4.4704	6.5786	0.6094	0.4171	0.9005	0.8175	1.1014	0.5232	0.5666	0.5282	0	0.2559	221.1267	189.7118	0.5642	185.7879	147.7604	0.0115	0	0.0637	0	19.155	11.0425	0	0.4247	0.5426	0.8917	0.8861	0.4167	0.5621				 
336-1	336	2009_nc_336_fruit-t.jpg	1	13.6268	11.5922	2.9972	3.3528	4.8006	4.826	1.4394	1.6017	0.5763	1.0508	0.5484	0.7537	0.886	0.393	0	0.0081	194.4052	35.6243	0.0007	175.9812	96.6753	0	0	0.3879	0	2.0053	15.6183	0	0.6842	0.7937	0.8876	0.8824	1.5957	0.3837				 
336-2	336	2009_nc_336_fruit-t.jpg	2	14.0894	10.6993	2.5908	3.1242	5.0038	5.08	1.626	1.9314	0.5588	1.098	0.5089	0.6829	0.8516	0.3545	0	0	162.5946	25.0566	0	175.6468	77.5594	0	0	0.3664	0	1.6884	18.918	0	0.6449	0.7437	0.8457	0.8757	1.6444	0.3692				 
336-3	336	2009_nc_336_fruit-t.jpg	3	12.8648	10.5309	2.9464	3.0988	4.5974	4.6482	1.5	1.5603	0.6034	0.9138	0.6604	0.8907	0.8909	0.4334	0	0	169.917	51.1294	0	166.4984	77.0494	0	0	0.2973	0	0.5769	9.9917	0	0.625	0.7912	0.8944	0.878	1.5652	0.3626				 
336-4	336	2009_nc_336_fruit-t.jpg	4	13.3974	9.7993	2.6162	2.9972	4.6482	4.6736	1.5593	1.7767	0.5825	1.0485	0.5556	0.7281	0.8625	0.3793	0	0	163.4911	29.497	0	173.7899	82.2654	0	0	0.3443	0	1.7869	15.6752	0	0.6311	0.6995	0.8649	0.7901	1.3617	0.3778				 
336-5	336	2009_nc_336_fruit-t.jpg	5	13.2381	9.2955	2.4638	2.9972	4.6482	4.699	1.5678	1.8866	0.5464	1.1237	0.4862	0.6402	0.8555	0.3434	0	0	156.6409	27.2192	0	173.9364	81.3674	0	0	0.3831	0	2.538	18.5214	0	0.6583	0.6739	0.7561	0.8671	1.5122	0.4457				 
336-6	336	2009_nc_336_fruit-t.jpg	6	12.5143	10.1019	2.921	3.0734	4.4196	4.445	1.4463	1.513	0.6	0.9739	0.6161	0.8282	0.8912	0.4113	0	0	172.9708	40.2081	0	178.6235	86.5516	0	0	0.3104	0	1.8161	10.6917	0	0.6229	0.7931	0.8903	0.8846	1.5333	0.377				 
336-7	336	2009_nc_336_fruit-t.jpg	7	11.6112	8.42	2.5654	2.7432	4.1656	4.1656	1.5185	1.6238	0.6238	0.9802	0.6364	0.8589	0.8819	0.4387	0	0	165.6583	46.4632	0	170.7497	84.4583	0	0	0.2791	0	0.319	10.0841	0	0.6012	0.7975	0.8904	0.8844	1.625	0.3741				 
336-8	336	2009_nc_336_fruit-t.jpg	8	13.3281	9.8148	2.7178	3.0988	4.5974	4.6228	1.4918	1.6916	0.5794	1.028	0.5636	0.7188	0.8728	0.3798	0	0	163.2303	22.1038	0	169.4105	89.4452	0	0	0.336	0	0.9227	15.3967	0	0.6414	0.7624	0.8846	0.8571	1.5	0.3445				 
337-1	337	2009_nc_337_fruit-t.jpg	1	22.7821	30.6141	6.5532	6.6294	5.2578	5.6642	0.8544	0.8023	0.8953	0.8295	1.0794	0.8986	0.9571	0.552	0.7467	0.0306	208.4553	140.909	0.1509	177.3529	117.9772	0.0013	0	0	0.1366	3.3514	0	4.9769	0.444	0.7748	0.9609	0.8687	0.8687	0.4363				 
337-2	337	2009_nc_337_fruit-t.jpg	2	24.1134	34.2761	7.112	7.1374	5.0546	5.8928	0.8256	0.7107	0.9357	0.8179	1.1441	0.8082	0.9238	0.5778	1.8653	0.0865	212.5044	152.678	0.2869	178.9307	130.3709	0	0	0	0.1435	3.9307	0	7.4357	0.5197	0.7359	0.9827	0.8673	0.7798	0.4521				 
337-3	337	2009_nc_337_fruit-t.jpg	3	21.2146	29.3109	6.1976	6.3246	5.3086	5.7404	0.9076	0.8566	0.9385	0.7705	1.2181	0.9048	0.971	0.5441	1.1452	0.0495	205.4822	137.0588	0.1288	175.547	105.5409	0	0	0	0.2234	2.1333	0	7.2863	0.3983	0.7467	0.913	0.875	0.875	0.4424				 
